"Place","District(s)","Pop (cutoff 10k)"
"LUNGENDA","53;67",
"LUNGU",42,
"LUNGUNDI",66,
"LUNGWANGWA",69,
"LUNGWE","24;38",
"LUNGWEVUNGU",54,
"LUNKALABA",58,
"LUNKUNI",48,
"LUNKUNYI",54,
"LUNSA",4,
"LUNSANGWE",39,
"LUNSEMFWA",3,
"LUNSOWA",3,
"LUNYANGU",71,
"LUNYAWA LUKALE",3,
"LUNZUA",42,
"LUO",24,
"LUPALE",71,
"LUPASA",6,
"LUPASHA",42,
"LUPATA",55,
"LUPENGA","14;20;23",
"LUPETA",4,
"LUPEYA",25,
"LUPITA",38,
"LUPIYA","4;6",
"LUPONGA",69,
"LUPUKA",72,
"LUPULA",67,
"LUPUMAULA",5,
"LUPUMPAULA",3,
"LUPUTA","6;49;51",
"LUSALE MENGO",42,
"LUSALO",42,
"LUSALYA",13,
"LUSAMBA",42,
"LUSATI",23,
"LUSENGE",66,
"LUSENGO",6,
"LUSENSO",6,
"LUSHIMBIKE",5,
"LUSIBI",71,
"LUSIMO",66,
"LUSINGA",23,
"LUSITU",64,
"LUSIYE",56,
"LUSIYU",68,
"LUSOMENA MBABULA",6,
"LUSONGWA",49,
"LUSOSA",21,
"LUSU",71,
"LUSUNTA",21,
"LUSWISHI",3,
"LUTALA",72,
"LUTAMBO",69,
"LUTANGA",57,
"LUTANGU","57;71",
"LUTANILO",21,
"LUTELE",13,
"LUTENDE",14,
"LUTENE",6,
"LUTESA",54,
"LUTETA",67,
"LUTOMBI MWALA",71,
"LUTU",1,
"LUTWI",66,
"LUTWIKI",13,
"LUUMBA",66,
"LUVEMBA",32,
"LUVESHA",12,
"LUVOTA",52,
"LUVUNA",71,
"LUWAMBE",3,
"LUWANA",1,
"LUWANDA",20,
"LUWANIKA",3,
"LUWANYA",61,
"LUWAYA",71,
"LUWEMBE",23,
"LUWENO",24,
"LUWEWA",22,
"LUWINGA","34;62",
"LUWINGU",41,
"LUWUKO",27,
"LUYANGA","66;68;69",
"LUYOBE",72,
"LUZONGO",70,
"LWAISHA",67,
"LWALI",26,
"LWALIKA",45,
"LWAMBE",58,
"LWAMBO",66,
"LWAMBULA",1,
"LWANDA","66;70",
"LWANDAMINA",13,
"LWANDAMO",66,
"LWANEKA",69,
"LWATIKA",39,
"LWAWU MISSION",52,
"LWAYA",70,
"LWELA",28,
"LWEMBE",1,
"LWENGESHI",13,
"LWIMBO",40,
"LYABUNGA",33,
"LYABWA",55,
"LYAFUSHA",1,
"LYAIKA",67,
"LYALE",49,
"LYAMBA",70,
"LYAMBWA",57,
"LYAMU",69,
"LYAMUKUMBA",49,
"LYAMUPU",66,
"LYANGUMBULA",54,
"LYANJENTA",69,
"LYAPA KAPASO",45,
"LYAPA KAPASU",45,
"LYEMBO",3,
"LYENDA",48,
"LYENDAWUKA",54,
"LYOLOMENA",13,
"LYOLOMONA",13,
"LYULUMUNA",66,
"LYUMBO",1,
"MAAKO",69,
"MAALA",24,
"MABA",55,
"MABALIKA",6,
"MABAMBE",40,
"MABANDA",23,
"MABEBO",70,
"MABENGA","12;71",
"MABENGA KUTA",71,
"MABETA",71,
"MABETI",43,
"MABEVU",59,
"MABILI",66,
"MABILI KUTA",68,
"MABIRI",66,
"MABOMBA",9,
"MABOMBWE",68,
"MABONDE",6,
"MABOTE",71,
"MABUKU",71,
"MABUMBA",27,
"MABUMBU",69,
"MABUTO",68,
"MACHA",55,
"MACHACHA",66,
"MACHAI",67,
"MACHAMANDA MILUKUTU",6,
"MACHAMBUZI",69,
"MACHANGANI",1,
"MACHANGO",43,
"MACHECHE",24,
"MACHELIWA MAMBWE",6,
"MACHEMBA",46,
"MACHES",5,
"MACHEVU",71,
"MACHEWA",24,
"MACHILI","42;71",
"MACHINA",37,
"MACHIPISHA",42,
"MACHISA",23,
"MACHISA KABINDA",6,
"MACHIYA",14,
"MACHOBANI",71,
"MACHOLOLA",67,
"MACHUMO",19,
"MADONDA",56,
"MADUMA",19,
"MADYERA",19,
"MADYONGO",58,
"MADZIMAWE",19,
"MADZIMOYO",19,
"MAFELOMALE",66,
"MAFUKA",67,
"MAFUKU",72,
"MAFULA",66,
"MAFULO","66;67;69",
"MAFUMBA",24,
"MAFUNSI",24,
"MAFUTA","19;22;33;61",
"MAFUZI",67,
"MAFWA",47,
"MAFWILA",71,
"MAGAMBA",20,
"MAGEZA",19,
"MAGOBOZA",19,
"MAGODI","19;21",
"MAGOMERA",6,
"MAGOMURA",21,
"MAGONA",24,
"MAGONGA","20;56",
"MAGOYE",61,
"MAGUYA",19,
"MAHACHI",24,
"MAHAHA",71,
"MAHAU",63,
"MAHEKEYA",21,
"MAHENGA",54,
"MAHOWA",21,
"MAHUNGU",57,
"MAHWA",66,
"MAIBA",65,
"MAIBWE","59;71",
"MAILA",66,
"MAILO",6,
"MAILOS KASEMBE",6,
"MAIMBE",18,
"MAIMBO",70,
"MAIMBOLWA",72,
"MAINDA",66,
"MAINGA",70,
"MAIPAMBE",40,
"MAISA",13,
"MAISAHUMA",69,
"MAJALIWA",22,
"MAJILA",48,
"MAJUANETI",33,
"MAKABE",45,
"MAKAI",67,
"MAKAKA",67,
"MAKAKO SIMATE",66,
"MAKALA",71,
"MAKALAJE",21,
"MAKALE",24,
"MAKALO",71,
"MAKAMBA",30,
"MAKAMBWE",24,
"MAKAMBWILA",54,
"MAKANDA",71,
"MAKANDO",71,
"MAKANGA","47;69",
"MAKANGALA",58,
"MAKANGILA",36,
"MAKANGO",37,
"MAKANKULA",3,
"MAKANYA",68,
"MAKAPAKAPA",67,
"MAKAPANDULA",32,
"MAKAPU",52,
"MAKASA",45,
"MAKASI",42,
"MAKE CHISENGA",6,
"MAKECHE",67,
"MAKECHI",72,
"MAKEKA",66,
"MAKENA",68,
"MAKENYA",66,
"MAKESA",71,
"MAKETO",71,
"MAKINA","24;67",
"MAKIYA",14,
"MAKO",69,
"MAKOBA",37,
"MAKOBE",3,
"MAKOFI KUNDA",6,
"MAKOKA","21;22;56",
"MAKOKWA",70,
"MAKOLEKA","22;23",
"MAKOMA",66,
"MAKOMBA",24,
"MAKOMBE","23;38",
"MAKONDE",62,
"MAKONDO","18;67",
"MAKONDOLA",18,
"MAKONKA",62,
"MAKONO","19;66",
"MAKOSA",6,
"MAKOSHIA",6,
"MAKOSHYA",6,
"MAKOSI",42,
"MAKOWA","19;24",
"MAKRI",59,
"MAKUBA",16,
"MAKUFUNETI",33,
"MAKUKU",69,
"MAKULE",21,
"MAKULUKUSE",68,
"MAKULULU",2,
"MAKULUPWE",68,
"MAKULUSA",38,
"MAKUMBI",6,
"MAKUMYA",37,
"MAKUNDA",37,
"MAKUNGANYA",22,
"MAKUNGU","42;50",
"MAKUNGWE",40,
"MAKUNKA","57;59",
"MAKUNKU",63,
"MAKUPA",68,
"MAKUPULA",37,
"MAKUSA",1,
"MAKUSI",24,
"MAKUWA",3,
"MAKUYA",67,
"MAKWA",54,
"MAKWAKWA",42,
"MAKWAMBINDA",69,
"MAKWANGWA",71,
"MAKWAYA",38,
"MAKWE",70,
"MAKWEBO",64,
"MAKWEMBO",61,
"MAKWENDA","20;24",
"MAKWENYOLA",43,
"MAKWENYORA",43,
"MAKWETE",68,
"MAKWINDI",59,
"MAKWITA",40,
"MAKWITA MAKAI",68,
"MALA",63,
"MALABI",18,
"MALABO",16,
"MALABWE",71,
"MALACHA",66,
"MALAFU",71,
"MALAIKA",32,
"MALAISHA JIM",3,
"MALAKATA",1,
"MALAKI",71,
"MALALA","66;71",
"MALALE",38,
"MALALO",23,
"MALALU","57;66",
"MALAMA","18;40",
"MALAMA MULINDA",22,
"MALAMALAZA",21,
"MALAMALEZU",21,
"MALAMANI",59,
"MALAMBA",24,
"MALAMBANYAMA",1,
"MALAMBO","42;52",
"MALAMO","43;69",
"MALAMWITA",43,
"MALANDA",24,
"MALANDAWO",38,
"MALANDULA",21,
"MALANGO",38,
"MALANGWA",47,
"MALANYE",12,
"MALAPULA",27,
"MALASA",6,
"MALASHA","1;67",
"MALATA","20;40",
"MALAYA CHINDALO",32,
"MALAYA KUNDA MAILA",6,
"MALAYA TEMBO",32,
"MALAZA",24,
"MALEKA",6,
"MALEKE",54,
"MALEMA",38,
"MALEMALE",38,
"MALEMBEKA",13,
"MALEMBO","21;38;72",
"MALEMBUTUKO",71,
"MALEMULA",38,
"MALEMYA",22,
"MALENDA",66,
"MALENGA",24,
"MALENGO KASOPA",38,
"MALENGWA",69,
"MALETE",1,
"MALEYA NAMINDI",71,
"MALI SABAS",22,
"MALIA",6,
"MALIAFITA",12,
"MALIALILA",68,
"MALIANDE",72,
"MALIATWA",71,
"MALICHEBO MUKANDO",6,
"MALICHI",49,
"MALIJANI",22,
"MALIKANA","68;69",
"MALIKO","6;37;42;55",
"MALIKO KABEPULE",6,
"MALIKO MUTAMBO",38,
"MALILA",3,
"MALILI",24,
"MALILO","66;68",
"MALIMBA","24;55;59",
"MALIMBU",66,
"MALIMULA",24,
"MALINDI","56;71;72",
"MALINDIMA",42,
"MALINTO-KATONGO",40,
"MALIPA","23;24",
"MALIPILO","3;37",
"MALISAWA","12;47",
"MALISENI",21,
"MALITI","67;71",
"MALITIA",69,
"MALIYE",59,
"MALOA",24,
"MALOBA",67,
"MALOKOTA",13,
"MALOLE",46,
"MALOMA",22,
"MALOMBO",48,
"MALOMBOLA",22,
"MALOMO","21;71",
"MALONDO",66,
"MALONDOLO",18,
"MALONGWE",31,
"MALONI CHIMULASA",6,
"MALOPIRA",6,
"MALOPU",69,
"MALOVU",52,
"MALOWA","23;24",
"MALOZA",19,
"MALUA",21,
"MALUBA",37,
"MALUKA",6,
"MALULA",45,
"MALULU",19,
"MALUMA",55,
"MALUMANI","62;71",
"MALUMBE","5;24",
"MALUMBO",69,
"MALUMBU","18;66",
"MALUMO",71,
"MALUMULA",21,
"MALUNDA",24,
"MALUNDE",40,
"MALUNDU","29;62;72",
"MALUNGA","18;19",
"MALUPANDE",6,
"MALUPENGA",42,
"MALUSA",38,
"MALUWA",19,
"MALUWE",64,
"MALWA",3,
"MALWELA",72,
"MALWELE",4,
"MALYACHILA",54,
"MALYAFITA",12,
"MAMANGA",39,
"MAMANGE",72,
"MAMAUNA",69,
"MAMBA","65;72",
"MAMBATA",19,
"MAMBE",19,
"MAMBILIMA FALLS",29,
"MAMBILIMBILI",70,
"MAMBO","24;40;62;72",
"MAMBOVA",59,
"MAMBOZA",59,
"MAMBWE","6;22;67",
"MAMBWE CHILWELE",6,
"MAMBWE CHISENDA",6,
"MAMBWE FULUKUTU",6,
"MAMOCHISANE",69,
"MAMONO",70,
"MAMPIANA",72,
"MAMPONDU",63,
"MAMUSHAKENDE",69,
"MAMWENI",4,
"MANA",5,
"MANAMBWERE",1,
"MANANDO",19,
"MANANGWA",39,
"MANANKHONYO",19,
"MANASE",22,
"MANASE KUNDA",6,
"MANASSEH",38,
"MANDALA",17,
"MANDALO",48,
"MANDATILLA",4,
"MANDE",1,
"MANDEBESA",6,
"MANDEFU",29,
"MANDEVU","63;67",
"MANDI",1,
"MANDIYA",59,
"MANDO",70,
"MANDONDO SCHOOL",63,
"MANDOWA",21,
"MANDU",21,
"MANDUAGVA",4,
"MANDUMBA",67,
"MANDUMBWA",69,
"MANDUNDU","66;72",
"MANDUWANI",66,
"MANDYATA",42,
"MANENGA","54;66;67",
"MANENGENENGE",67,
"MANGA","18;24;56;72",
"MANGAILA",6,
"MANGANGO",67,
"MANGANI",17,
"MANGATA",44,
"MANGIZA","17;19;24",
"MANGOMBE",66,
"MANGONDE",70,
"MANGONGO",67,
"MANGONJE",19,
"MANGONJO",68,
"MANGOWA","54;67",
"MANGOWE",20,
"MANGULU",19,
"MANGUNZA",55,
"MANGWAI",6,
"MANGWASHI",1,
"MANGWEMANGE",71,
"MANGWTO",59,
"MANJA",6,
"MANJANJA",19,
"MANJANJI",67,
"MANJAWILA",38,
"MANJOLO","6;66;68",
"MANKAKA",21,
"MANKATA",67,
"MANKODI",59,
"MANKOMBA",24,
"MANKOMBWE",33,
"MANKUNGWE",24,
"MANKWALA",24,
"MANKWANYA",70,
"MANOA",4,
"MANOKOLA",22,
"MANSASWI",6,
"MANTENYANI",71,
"MANTEPA",21,
"MANUNGA",43,
"MANWALALA",47,
"MANWELA",71,
"MANWELE SIMON",32,
"MANYA",71,
"MANYALIWA",22,
"MANYAMA",32,
"MANYANE",24,
"MANYAPA",64,
"MANYARA",21,
"MANYEMWE",71,
"MANYENSHU",4,
"MANYEPA",64,
"MANYI",21,
"MANYIKA",45,
"MANYIMA",66,
"MANYINDA",20,
"MANYOFU",52,
"MANYONGO",67,
"MANYUNDA",71,
"MAO","27;66",
"MAOMA",32,
"MAONDA",71,
"MAONGA",70,
"MAPACHI",54,
"MAPALA",66,
"MAPANDA","59;69",
"MAPANDE",39,
"MAPANZA",55,
"MAPEBA",3,
"MAPELEKA",13,
"MAPENA",59,
"MAPEPELA",6,
"MAPEPI",33,
"MAPILI","31;50",
"MAPIRI",33,
"MAPLANKA",69,
"MAPOBWE",65,
"MAPOLYOMOKA",59,
"MAPOTA",13,
"MAPTRI",21,
"MAPULA",28,
"MAPULANGA",5,
"MAPULU",57,
"MAPUNGA",53,
"MAPUSE",70,
"MAPYELA",38,
"MARAMBA",60,
"MARANDIKA",21,
"MARI",22,
"MARIKO",24,
"MARK MUTAMBO",38,
"MARTIN NANDU",6,
"MARUMANI",55,
"MARUMO","66;69",
"MARUMO LUANDILA",69,
"MARUVILA",32,
"MASAITI",13,
"MASAJI",54,
"MASAKA","2;43",
"MASAKA SHIMUKUNI",1,
"MASAKAMIKA",18,
"MASALA","16;19",
"MASAMBA",3,
"MASAMBO","66;70;72",
"MASAMO",71,
"MASAMU",71,
"MASANDIKO",18,
"MASANGANI",38,
"MASANGU",71,
"MASANJE",42,
"MASANJURA",21,
"MASANSA",6,
"MASANTA",31,
"MASAPULA",6,
"MASASE",6,
"MASEKA",54,
"MASEKE",67,
"MASENGA","24;38",
"MASENGU",24,
"MASENI",57,
"MASENJE",62,
"MASESE",71,
"MASHALA",24,
"MASHALERA",21,
"MASHANGA",19,
"MASHATI",19,
"MASHAU",54,
"MASHAWA",66,
"MASHEKA",67,
"MASHEKELA",19,
"MASHEMU",68,
"MASHESHA",66,
"MASHETE",46,
"MASHEWA",67,
"MASHEWANA","67;69;72",
"MASHICHI",5,
"MASHIE",57,
"MASHINATI",46,
"MASHOKO",68,
"MASHOLA",3,
"MASHULE",72,
"MASIALETI",68,
"MASILOKWA",66,
"MASINJA",19,
"MASIRI",20,
"MASIYALETI",67,
"MASOJI","48;49",
"MASOKO",23,
"MASOLA",6,
"MASOLE",59,
"MASONDA",4,
"MASONGOZI",59,
"MASUBA",59,
"MASUKAMIKA",24,
"MASUKU",55,
"MASULANI",24,
"MASUMA",21,
"MASUMBA","21;22",
"MASUMO","69;71",
"MASUPE",19,
"MASYAPI",65,
"MATAA","66;69",
"MATABELE",6,
"MATABULA",1,
"MATAFA",6,
"MATAFU","51;67",
"MATAFWALI","6;40;42",
"MATAFWILI",3,
"MATAKA",6,
"MATAKALA","54;66;70",
"MATAKO","63;67;69;71",
"MATALA",5,
"MATALE","66;71",
"MATAMA","27;43",
"MATAMBA",66,
"MATAMBO","6;65",
"MATANDABALA",64,
"MATANDIKO",42,
"MATANGA",45,
"MATAO",66,
"MATAPE",71,
"MATAPO",67,
"MATAWARA",71,
"MATAWU",32,
"MATAYA",24,
"MATE","66;69;70;71;72",
"MATEBE",5,
"MATEBO",53,
"MATEMBA",67,
"MATEMPA SAMWA MUTAKASHA",6,
"MATENDA",4,
"MATENDO",38,
"MATENGA",54,
"MATENGO","66;71",
"MATENGU","66;70",
"MATEO","40;42",
"MATEPETA",72,
"MATERO",35,
"MATEYO","6;38;62",
"MATEYO BOTOLO",6,
"MATEYO CHAMANGO",6,
"MATEYO CHIKANDA",6,
"MATEYO KALASHILA",6,
"MATHEW NKOLOMA",7,
"MATIMULA",24,
"MATINAMBWENGA",69,
"MATINANGA",71,
"MATINDO",69,
"MATIPA","31;36",
"MATITI",23,
"MATIYA",67,
"MATO",71,
"MATOBA",20,
"MATOBE",5,
"MATOBO",65,
"MATOBWE",26,
"MATOFU",68,
"MATOMBO",71,
"MATOME",71,
"MATONCHI",52,
"MATONDA",18,
"MATONGA",67,
"MATONGO","59;70",
"MATONJE",20,
"MATOPE",64,
"MATOTA",6,
"MATTHEW",24,
"MATUKA",67,
"MATULENA",24,
"MATULINO",24,
"MATUMBA",21,
"MATUMBO",37,
"MATUMBU",6,
"MATUNA",24,
"MATUNKA",68,
"MATUPA",43,
"MATUTO",21,
"MATUTU","13;69",
"MATUWAMBA",19,
"MATWI",66,
"MATWIANGOMBE",68,
"MAUKO SAMBWA",6,
"MAUKWALU",24,
"MAULE",42,
"MAULUZHI",57,
"MAUMONA",66,
"MAUNGA","57;70",
"MAVUA",66,
"MAVYAVYA",38,
"MAWANDA","20;23",
"MAWAWA",69,
"MAWELA",70,
"MAWENE",19,
"MAWENGO",66,
"MAWINDA",38,
"MAWONGO",43,
"MAYAMBA",66,
"MAYANGA","42;67",
"MAYANI",24,
"MAYANKWA",68,
"MAYAPI",66,
"MAYAWA",23,
"MAYAYA",3,
"MAYEKABU",70,
"MAYEKEYA",21,
"MAYEMA",66,
"MAYEMBE",42,
"MAYEMBO",38,
"MAYENDENDE",67,
"MAYENGO",67,
"MAYENGU",54,
"MAYIKUNDALE",47,
"MAYIMBA",42,
"MAYIYANGULWA",63,
"MAYOBO",55,
"MAYONDE",67,
"MAYONDO",53,
"MAYONGO",63,
"MAYOWA",38,
"MAYUKA",43,
"MAYUMBELO","69;72",
"MAYUMBULA",71,
"MAYUNA",72,
"MAYUNDA",3,
"MAYUNGANO",70,
"MAYUNGO",66,
"MAYUNKA",67,
"MAYUWA",71,
"MAYUYI",69,
"MAZAKA",57,
"MAZALA","24;57",
"MAZANGWE",22,
"MAZERA",20,
"MAZHIBA",63,
"MAZIKE",66,
"MAZILA",56,
"MAZITI",45,
"MAZONDE",24,
"MAZUNDA",54,
"MAZYAMBA",20,
"MBAALA",66,
"MBABALA",55,
"MBACHI",38,
"MBAIMBA",66,
"MBAKALUNGU",24,
"MBAKOLUNGA",24,
"MBALA-MASI-ALA",71,
"MBALAMA",66,
"MBALAMWEZI",42,
"MBALASA",42,
"MBALAZI",42,
"MBALEKAWE",3,
"MBALO",19,
"MBAMBA",54,
"MBAMBI","66;67",
"MBAMBIKO",69,
"MBAMBO","52;66",
"MBAMBU",67,
"MBANDOKE",68,
"MBANDU",68,
"MBANGA",68,
"MBANGALA",69,
"MBANGANDWE",18,
"MBANGO","21;24",
"MBANGOMBE",20,
"MBANGU",17,
"MBATI",43,
"MBAYAMA",5,
"MBAZAO",38,
"MBAZO",45,
"MBEKISE KUTA",69,
"MBEKO",1,
"MBELENGA",32,
"MBENGE",54,
"MBENJERE","19;24",
"MBERESHI",30,
"MBESUMA RANCH",37,
"MBEWA",24,
"MBEYA",21,
"MBEZA","62;63",
"MBEZUMA",47,
"MBILA","27;57",
"MBILYA",27,
"MBIMBI",54,
"MBINDAWINA",70,
"MBINGA","17;20",
"MBIRIZI","17;24",
"MBISI",24,
"MBIWI",24,
"MBO",31,
"MBOBELA",55,
"MBOFWANA",32,
"MBOKOSHI",42,
"MBOKOSI",45,
"MBOKOZI",47,
"MBOLOLO",23,
"MBOLOMA","3;4",
"MBOMBOZA",24,
"MBOMBWAMI",68,
"MBOMENA",67,
"MBONGA",1,
"MBONGE",67,
"MBONGE MWEMWA",66,
"MBONGO","21;70",
"MBONGOLA",69,
"MBONI",71,
"MBONSO",40,
"MBOO","66;69",
"MBOROMA",4,
"MBORONSA",4,
"MBOSHYA","1;4",
"MBOTYA",18,
"MBOWA",38,
"MBOYONGA",67,
"MBOYONGO",68,
"MBOZI",61,
"MBUBU",66,
"MBUKUSHU",66,
"MBULANJILI",70,
"MBULO-CHIPANSHA",1,
"MBULU","31;72",
"MBULUMA","4;38",
"MBULUNJE",38,
"MBULWE LITENDE",68,
"MBUMA",69,
"MBUMBA",67,
"MBUMBI",70,
"MBUMWAE","66;69",
"MBUMWAYE",69,
"MBUNDA","16;67",
"MBUNDI",38,
"MBUNDU",70,
"MBUNJI","48;70",
"MBURUMA",34,
"MBUSA",40,
"MBUYA","52;67",
"MBUYAKUMUTU",23,
"MBUZI",21,
"MBWAINGA","67;70",
"MBWANGA","66;67",
"MBWASHI",68,
"MBWATAMA",68,
"MBWATUKA",24,
"MBWENGENGE",53,
"MBWETI",67,
"MBWIBI",70,
"MCAMO",19,
"MCEKENI",24,
"MCFRED IRON",3,
"MCHACHA","19;20",
"MCHAKA",24,
"MCHAKALUKA",32,
"MCHEKENI",24,
"MCHENCHE",18,
"MCHENGA","19;22",
"MCHENJESA",17,
"MCHEREKA",21,
"MCHIFUNGWE",38,
"MCHILWA",24,
"MCHINKA",6,
"MCHUKA",21,
"MDENDE",21,
"MDIKA",19,
"MDUKA",24,
"MDUMO",19,
"MEBELO",71,
"MEIKUTA",71,
"MELA",69,
"MELEKE",6,
"MELEKI MUKENA",72,
"MELEKI NGOSA",6,
"MELI MBWESHA",6,
"MELI MWELWA",6,
"MEMBE","21;22;34",
"MEMBI",18,
"MENDA",3,
"MENDALO",19,
"MENENGE",33,
"MENGA",40,
"MENGELO",70,
"MENGO","42;66",
"MENSO",23,
"MENYA",71,
"MENYANI","19;23",
"MERERA",12,
"MERWE",24,
"MESA",6,
"MESELO",6,
"MESELOFUNGA",6,
"MESHEKA",6,
"MESHETO",28,
"METAMBA",14,
"MEYA",1,
"MEYAMBO",28,
"MEYANI",40,
"MFIPA",19,
"MFUMBAIKA",3,
"MFUMWAYILOLU",54,
"MFUSE",24,
"MFWILA",47,
"MGAMPULA",19,
"MGAWA","19;20",
"MGOMBE",19,
"MGONDE",18,
"MGUBU",61,
"MGUBUDU",19,
"MGWALANGWA",19,
"MGWAZO",19,
"MHANDA",22,
"MIANDA",72,
"MIBANGA",40,
"MIBENGE",27,
"MIBENJI",27,
"MICHEMBO",20,
"MIENGA",66,
"MIHOVA",48,
"MIKABA",3,
"MIKOMFWA",11,
"MIKONDO",5,
"MIKUNKU",19,
"MILAMBO","28;31;42",
"MILANJA",67,
"MILENGE",28,
"MILIMBO",24,
"MILIMO",67,
"MILINGO",48,
"MILISONI KAMENA",6,
"MILLION MATAWU",32,
"MILOKE","27;31",
"MILOMO","3;66",
"MILOMWE",13,
"MILONGO",38,
"MILUASHI",11,
"MILULU",21,
"MILUMBU",72,
"MILUNGA",43,
"MILYONI",6,
"MIMOSA",35,
"MINANDE",18,
"MINDOLO",10,
"MINECHIPETA",18,
"MINEMANO",24,
"MINGA",24,
"MINJENJE",66,
"MINKO",6,
"MINSO",37,
"MINYA",17,
"MINYONGI",68,
"MINYOYI",66,
"MIOZI",68,
"MIPANDO CHITA",6,
"MIPUNDU",11,
"MIRANGU",55,
"MIRIMBO",24,
"MIRITAN",55,
"MISAMBO",40,
"MISELO FUNGA",6,
"MISELO LUANSHIKA",6,
"MISELO LUMANSHIA",6,
"MISENGO",40,
"MISERIKOTA",53,
"MISESHI",10,
"MISHEK MAMBWE",6,
"MISHEK MWANJE",6,
"MISHORO",19,
"MISITELI",71,
"MISUNDU",13,
"MITAKATA",21,
"MITANGA",6,
"MITANGI",70,
"MITATU",68,
"MITAWA",39,
"MITELEMBE",48,
"MITEMBO",67,
"MITENDA",1,
"MITONDA",37,
"MITWE",12,
"MIVENJI",27,
"MIYAMBO",28,
"MIYENGEBWA",6,
"MIYOBA NAKAYUWA",62,
"MIYONDA",24,
"MIYONGOLO",42,
"MIZE",54,
"MJORO",20,
"MJOSE",22,
"MJOSE MSIYA",22,
"MKACHILENGA",33,
"MKAKA",24,
"MKAMALWE",1,
"MKAMBI","5;20",
"MKAMBWA",19,
"MKANANDU",5,
"MKANDA",19,
"MKANGALA",24,
"MKANIA",22,
"MKANIRE",19,
"MKANYA",22,
"MKAPATILA",20,
"MKASANGA",21,
"MKASI",47,
"MKOKO","17;20;21;24",
"MKOLAMA",24,
"MKOLOSO",6,
"MKOMA",22,
"MKOMERA",22,
"MKONJE",22,
"MKONKOLA",24,
"MKOPA",4,
"MKOPE",24,
"MKOPEKA",24,
"MKOTWE",21,
"MKOWANA",24,
"MKUBU",5,
"MKUBWA",22,
"MKULE",19,
"MKULI",22,
"MKUM NGOMBE",24,
"MKUMBUTU",71,
"MKUMPA","19;22",
"MKUMPHA",20,
"MKUNDA",19,
"MKUSHI RIVER",4,
"MKUWAILA",19,
"MKUZA",24,
"MKWAIRA",19,
"MKWAMA",24,
"MKWAMBA",4,
"MKWECHE",20,
"MKWEKE",19,
"MKWEKWESHA",24,
"MKWESA",22,
"MLANGENI",19,
"MLENGA",20,
"MLEYA",22,
"MLIMBA",1,
"MLIPA",20,
"MLOLO",17,
"MLOMBE",20,
"MLONVENI",19,
"MLUNGAVIKRA",21,
"MMPOLUNJE",38,
"MNANOLE",38,
"MNASANGANI",38,
"MNAVYAVYA",18,
"MNEMANO",24,
"MNGANGA",52,
"MNGONA",24,
"MNJANCHA",20,
"MNKANYA",22,
"MNKHANYA",22,
"MNKWINDA",18,
"MNTHANZI",20,
"MNUKWA",19,
"MNUKWA-MGAZINI",19,
"MOBA","31;57",
"MOEMBA",38,
"MOFU",36,
"MOFWE","13;39",
"MOKA","69;70",
"MOKABAE",66,
"MOKAMBA",69,
"MOKANELAMO",69,
"MOKOLA",12,
"MOKOLO",12,
"MOKULU",69,
"MOKWAE NOLYANGA",70,
"MOKWAES MAFULO",70,
"MOLAZA",18,
"MOLE-KOMBE",40,
"MOLEKI",69,
"MOLIKA",24,
"MOLISA",66,
"MOLO",70,
"MOLODZERA",17,
"MOLOMBAKA",5,
"MOLUKA",71,
"MOLWA",39,
"MOMBA","1;59;61;70",
"MOMBA FARM",7,
"MOMBE",71,
"MOMBO",69,
"MOMBOLA",70,
"MOMO",70,
"MONDAKA",13,
"MONDE",66,
"MONDE SIKAMWI",66,
"MONDOLA",24,
"MONDOMONA",1,
"MONGA","1;27;45;61;65;66;68",
"MONGA CHIFUNUKA",64,
"MONGE",1,
"MONGOLA",39,
"MONGONJE",19,
"MONGOZA",24,
"MONICA",40,
"MOOKA",71,
"MOOLA",71,
"MOOMBA",2,
"MOONGO",66,
"MOPOLOTA",69,
"MORIDANJI",69,
"MORRIS INDAKANKA",6,
"MORRIS MWAPE",6,
"MORTON CHISULU",6,
"MORTON MUSELO",6,
"MOSAKA",68,
"MOSE",19,
"MOSENI",43,
"MOSES","42;47",
"MOSES BULAYA",45,
"MOSES CHIWONE",38,
"MOSES CHUNGU",45,
"MOSES MPILI",1,
"MOSES MULILO",43,
"MOSHOBA",33,
"MOSI CHINGAMBA",6,
"MOSI-O-TUNYA",60,
"MOSUNGA",69,
"MOTA",69,
"MOTO",69,
"MOTOMATO",37,
"MOTOMOTO",37,
"MOWA",71,
"MOWENJE",24,
"MOYA","19;21",
"MOYO","24;55;56",
"MPAKANI",59,
"MPALAMBWE",39,
"MPALAPATA",44,
"MPALI",4,
"MPAMBA","21;24",
"MPAMBENI",24,
"MPAMPA",19,
"MPANDA","5;22;24",
"MPANDE","19;21;38",
"MPANDIKA",22,
"MPANDO","6;24",
"MPANGALA",38,
"MPANGANKULU",42,
"MPANGE",40,
"MPANGO","24;72",
"MPANGULA",24,
"MPANGWE",21,
"MPANSHYA",32,
"MPANTA",31,
"MPAPE FRIDAY",32,
"MPARA",19,
"MPASE",32,
"MPASHA",54,
"MPASI",32,
"MPASU",33,
"MPATAMATU",11,
"MPATISHA",3,
"MPATISHYA",3,
"MPAYAWANTHU",19,
"MPAZANGWE",34,
"MPAZO",24,
"MPELA",20,
